sigla;iata;nombre;municipio;departamento;categoria;latitud;longitud;propietario;explotador;longitud_pista;ancho_pista;pbmo;orientacion;elevacion;resolucion;fecha_construccion;fecha_vigencia;clase;tipo;numero_vuelos_origen;gcd_departamental;gcd_municipal,,,
BYA;NA;EL TAMBO;Cartagena de Indias;Bolívar;Aeródromo;10.4817;-75.4136;JORGE I. AGUDELO RESTREPO;JORGE I. AGUDELO RESTREPO;350;15;2313;01 | 19;100;4218;NA;42975;1A;Privado;NA;13;13001,,,
CAA;NA;CAÑO GANDUL;San Luis de Palenque;Casanare;Aeródromo;5.1725;-71.1419;PERENCO COLOMBIA LIMITED;PERENCO COLOMBIA LIMITED;600;16;3000;04 | 22;431;5603;NA;42295;1A;Privado;7741;85;85325,,,
CAC;NA;CAMPO CAPOTE;Vélez;Santander;Aeródromo;6.75;-73.9167;INDERENA;INDERENA;500;20;2300;16 | 34;500;2302;NA;NA;1A;Público;11;68;68861,,,
CAD;NA;INGENIO MAYAGUEZ;Candelaria;Valle del Cauca;Aeródromo;3.3948;-76.3238;INGENIO MAYAGUEZ S.A.;ING. MAYAGUEZ-ASOCAÑA;200;10;500;10 | 28;3320;2958;NA;05/08/2015;1A;Fumigación;1;76;76130,,,
CAG;NA;CASACARA CAYTA;Agustín Codazzi;Cesar;Aeródromo;9.9281;-73.2531;FADELCE LTDA;FADELCE LTDA;900;20;4000;01 | 19;384;3055;NA;42609;1A;Fumigación;27;20;20013,,,
CAH;NA;EL VISO INCORA;Campoalegre;Huila;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;41;41132,,,
CAL;NA;CALIMA;Aguachica;Cesar;Aeródromo;8.2854;-73.643;CELTA LTDA;CELTA LTDA.;900;15;2500;06 | 24;427;1127;NA;11/06/2018;1A;Fumigación;64;20;20011,,,
CAM;NA;CABO MARZO;Juradó;Chocó;Aeródromo;6.8794;-77.678;SERVICIALES LTDA.;SERVICIALES LTDA.;700;18;5000;17 | 35;16;4418;NA;02/10/2016;1A;Privado;34;27;27372,,,
CAN;NA;CANARIAS;Nunchía;Casanare;Aeródromo;5.472;-72.1533;SERRANO HERRERA Y CIA;EL MISMO;740;10;2500;15 | 33;735;3940;25/07/2014;42993;1A;Fumigación;1;85;85225,,,
CAO;NA;CENTRO ADMINISTRATIVO MARANDUA;Cumaribo;Vichada;Aeródromo;5.3345;-67.8646;INDERENA;INDERENA;1780;28;33112;03 | 21;500;1413;NA;NA;3B;Público;1154;99;99773,,,
CAP;NA;CAMPO ALEGRE;San Luis de Palenque;Casanare;Aeródromo;5.4053;-71.1293;ALIRIO CORREA Y OTROS;SERFABA S.A.S.;700;10;2000;16 | 34;656;1207;NA;43270;1A;Fumigación;61;85;85325,,,
CAQ;NA;JUAN H.WHITE;Caucasia;Antioquia;Regional;7.968;-75.1982;AEROLINEA DE ANTIOQUIA;AEROLINEA DE ANTIOQ.;1080;23;17/F/B/X/T;02 | 20;207;5052;02/10/2014;03/10/2017;2B;Privado;15994;5;5154,,,
CAR;CCO;CARIMAGUA;Puerto López;Meta;Aeródromo;4.5649;-71.3367;ICA;EL MISMO;1336;23;25000;03 | 21;700;657;NA;NA;3B;Público;2033;50;50573,,,
CAS;NA;CASA COIMA;Mutatá;Antioquia;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;5;5480,,,
CAT;NA;CALICANTO;Alvarado;Tolima;Aeródromo;4.4878;-75.0106;ERNESTO NAVARRO Y CIA;CRUZ VERDE;640;10;3000;04 | 22;2166;1735;NA;NA;1A;Fumigación;1;73;73026,,,
